Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/03/2023,01/04/2023,WEGMANS CHAPEL HILL #140,Groceries,Sale,-60.19,
01/02/2023,01/02/2023,Offer:Grocery Stores,Fees & Adjustments,Adjustment,5.00,
01/01/2023,01/01/2023,AUTOMATIC PAYMENT - THANK,,Payment,58.71,
12/29/2022,01/01/2023,HARRIS TEETER 0120,Groceries,Sale,-6.62,
12/31/2022,01/01/2023,WEGMANS CHAPEL HILL #140,Groceries,Sale,-61.93,
12/29/2022,12/30/2022,WEGMANS CHAPEL HILL #140,Groceries,Sale,-11.20,
12/28/2022,12/29/2022,RALEIGH STREET PARKING,Travel,Sale,-2.50,
12/28/2022,12/29/2022,BP#2300671S WILMST FAMIL,Gas,Sale,-35.27,
12/25/2022,12/26/2022,Amazon.com*0044Q8R03,Shopping,Sale,-100.00,
12/23/2022,12/25/2022,WEGMANS CHAPEL HILL #140,Groceries,Sale,-45.76,
12/22/2022,12/25/2022,CHICK-FIL-A #02138,Food & Drink,Sale,-2.89,
12/24/2022,12/25/2022,NCSU ALUMNI EVENTS/MERCH,Education,Sale,-135.00,
12/22/2022,12/23/2022,TARGET.COM  *,Shopping,Sale,-32.10,
12/22/2022,12/23/2022,TARGET.COM  *,Shopping,Sale,-46.00,
12/22/2022,12/23/2022,TARGET.COM  *,Shopping,Sale,-71.68,
12/21/2022,12/23/2022,DASHI,Food & Drink,Sale,-20.66,
12/22/2022,12/22/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,672.89,
12/19/2022,12/20/2022,THE RALEIGH TIMES,Food & Drink,Sale,-36.10,
12/18/2022,12/19/2022,BITETOOTHPASTEBITS,Shopping,Sale,-61.28,
12/16/2022,12/18/2022,TST* Neomonde - Durham,Food & Drink,Sale,-20.99,
12/17/2022,12/18/2022,CIRCLE K # 23101,Gas,Sale,-35.00,
12/13/2022,12/14/2022,WEGMANS CHAPEL HILL #140,Groceries,Sale,-48.86,
12/12/2022,12/13/2022,THE POUR HOUSE MUSIC HALL,Food & Drink,Sale,-16.16,
12/12/2022,12/13/2022,THE POUR HOUSE MUSIC HALL,Food & Drink,Sale,-10.00,
12/10/2022,12/12/2022,RUCKUS PIZZA,Food & Drink,Sale,-37.48,
12/08/2022,12/09/2022,WEGMANS CHAPEL HILL #140,Groceries,Sale,-56.08,
12/08/2022,12/09/2022,Amazon.com*X379J6CU3,Shopping,Sale,-31.00,
12/07/2022,12/08/2022,TST* Tobacco Road Sports,Food & Drink,Sale,-18.13,
12/07/2022,12/08/2022,TARGET        00018721,Groceries,Sale,-8.91,
12/05/2022,12/06/2022,CIRCLE K # 23101,Gas,Sale,-38.39,
12/05/2022,12/06/2022,WEGMANS CHAPEL HILL #140,Groceries,Sale,-49.91,
12/04/2022,12/05/2022,TST* THE RALEIGH BEER GAR,Food & Drink,Sale,-15.59,
12/04/2022,12/05/2022,BIG EDS CITY MARKET,Food & Drink,Sale,-12.91,
12/04/2022,12/05/2022,TST* THE RALEIGH BEER GAR,Food & Drink,Sale,-8.58,
12/04/2022,12/05/2022,TST* THE RALEIGH BEER GAR,Food & Drink,Sale,-31.06,
12/03/2022,12/05/2022,MILK BAR,Food & Drink,Sale,-14.11,
12/04/2022,12/05/2022,TST* CAROLINA ALE HOUSE -,Food & Drink,Sale,-4.60,
